S_t_actual,E_S_t,D_S_t,S_t_5,S_t_95,R,sigma2_formular,mu_formular,mu_estimate,Date,date,err
19226.97,18841.251676792308,749616.917682811,17201.118752051323,20594.28415804897,0.0025931422072349,0.0021094136104691,0.0025897858151306,0.0033513345969983,2020-12-3,1543.0,-0.04845908704313362
19454.54,19334.88933067967,794537.5439434681,17646.519558708897,21139.867934626505,0.005612914082649,0.0021230974858672,0.0055972203779572,0.0060512392980325,2020-12-4,1544.0,0.020061316120412842
18670.49,19620.993023318544,818065.6778243573,17907.801473736356,21452.49581637909,0.0085559989245977,0.0021226832310805,0.0085196038161261,0.0027064368957953,2020-12-5,1545.0,0.0061502697735505985
19155.06,18881.56327071044,762405.8675814276,17227.863694154847,20649.84138043546,0.0113051811018582,0.0021362219654158,0.0112417551224539,0.0007385203994659,2020-12-6,1546.0,-0.050909377489211094
19377.66,19426.43517898123,515541.468008369,18057.014084901788,20871.199625545607,0.0141672842048643,0.0013651516697248,0.0140678661231951,0.0129517362883745,2020-12-7,1547.0,0.014278040856544827
19181.41,19601.58699653071,528845.7827046097,18214.75371502599,21065.016848916144,0.0115559358834198,0.0013754596831543,0.0114896760308549,0.0143066641374364,2020-12-8,1548.0,-0.0025170830214398254
18318.87,19311.288222901607,549067.3858849462,17899.538913878972,20803.753350849023,0.0067710467010302,0.0014712403972668,0.0067482261192167,0.0093891074953219,2020-12-9,1549.0,-0.021905428043647923
18554.15,18326.475810914035,477988.7753897237,17008.63020009689,19718.36663060276,0.0004151899606272,0.001422168076463,0.0004151037931253,0.0015553816978522,2020-12-10,1550.0,-0.05417464193487964
18247.76,18480.545668954048,275880.9947635968,17472.357950097543,19531.13087958745,-0.0039670009699152,0.0008074522606324,-0.0039748903900666,-0.00630256783536,2020-12-11,1551.0,0.012270795972112225
18029.36,18174.30938127069,196545.5427879327,17320.789583632933,19058.547604465,-0.0040251854873862,0.0005948646837589,-0.0040333083511731,-0.0029514251858744,2020-12-12,1552.0,-0.01275694490469248
18803.44,17904.302350408612,230681.0544038272,16981.30018358321,18863.89876030376,-0.0069363332692558,0.0007193510916177,-0.0069605014527569,-0.0068698974439651,2020-12-13,1553.0,-0.00803962987430995
19164.48,18699.57648509108,259441.5892460262,17721.02665284609,19717.532078030414,-0.0055236443389571,0.0007416773079082,-0.0055389560727605,-0.003397497268122,2020-12-14,1554.0,0.04781772109738358
19276.59,19125.142775226475,210693.7168262752,18241.178959970533,20040.399502323977,-0.0020526111208613,0.0005758603277702,-0.0020547206142087,0.0032154185674373,2020-12-15,1555.0,0.024258603150668412
19439.75,19261.169505944377,191968.60989706696,18416.615278430567,20134.035261250905,-0.00079995964305,0.0005173120275069,-0.0008002797815085,0.0009859237452403,2020-12-16,1556.0,0.007856536076843668
21379.48,19483.02747551804,535059.2785766461,18088.53673391905,20955.48462847312,0.0022262362179574,0.0014085851560697,0.0022237618258154,0.0006353697192738,2020-12-17,1557.0,0.009186357543467527
22847.46,21621.29148427347,860595.1108074252,19859.88521398357,23495.666097135727,0.011310447413757,0.001839230524457,0.0112469625497324,0.0127585806956599,2020-12-18,1558.0,0.08870433352363849
23150.79,23357.08783460539,898138.2050941685,21554.50303330765,25268.821518667814,0.0223056670021697,0.0016449342415421,0.022060534150158,0.0251483150282629,2020-12-19,1559.0,0.05366760750326416
23869.92,23816.984020071584,977770.9891102754,21937.520752826786,25812.97338449279,0.028776297485813,0.0017222238017522,0.0283700352445768,0.0251952254724308,2020-12-20,1560.0,-0.00891104945470067
23490.58,24702.678577453124,1050583.6581039687,22754.455216864622,26771.616593590246,0.0348873635711022,0.0017201604746334,0.0342925933276597,0.0303379810518049,2020-12-21,1561.0,0.002217685686772941
22745.48,24329.48497233585,1072091.0176832727,22363.00283482405,26421.035252896385,0.035712399282429,0.0018095593275226,0.0350894984271291,0.0299151890941534,2020-12-22,1562.0,-0.051599346523292455
23824.99,23442.710165948138,1016440.1468401012,21528.595007143827,25479.88366553523,0.0306535701136285,0.0018478421030924,0.0301931351008106,0.0218309270598511,2020-12-23,1563.0,-0.06964042844274321
23253.37,24497.10335750881,1123640.8967290593,22484.98259881489,26639.40384876325,0.028210436080301,0.0018706468175298,0.0278198504421646,0.0249002696954987,2020-12-24,1564.0,0.016045330304519045
23715.53,23781.002154821494,1078925.4813399352,21809.930576963183,25880.83398344331,0.0226905672090322,0.0019059750121155,0.0224369653679454,0.0216600596905093,2020-12-25,1565.0,-0.05348615523293243
24693.58,24099.731173799068,1198951.715203049,22024.67205685405,26315.967809231297,0.0162004042835672,0.0020621935321776,0.0160705780159976,0.0229009626372511,2020-12-26,1566.0,-0.002760729143371332
26443.21,24939.00769349792,1012241.561499478,23025.006837160472,26968.222521318592,0.0099389271826084,0.0016261951255313,0.0098898608888654,0.0165273082770525,2020-12-27,1567.0,0.024048713317426418
26246.58,26740.73328338361,851979.1857297054,24977.06905297493,28594.862340748503,0.0112514056872676,0.0011907587037969,0.0111885794388122,0.0167665102922861,2020-12-28,1568.0,0.05688425522098417
27036.69,26616.105166994887,894111.660620926,24810.724740582533,28516.864261599152,0.0140789835092756,0.0012613302979144,0.0139807951426638,0.0144998333682736,2020-12-29,1569.0,-0.01882733991947183
27376.37,27515.275946952508,896427.8373942992,25706.04441606324,29417.01299952373,0.0177013512731221,0.0011833428859979,0.0175465069864326,0.0143947046998362,2020-12-30,1570.0,0.015556077056958939
28856.59,27982.82750937229,1124442.1821485888,25961.81548304585,30117.917066681617,0.0221525903314534,0.0014349682823269,0.0219107862446154,0.0175074744982351,2020-12-31,1571.0,-0.0050739359145317575
28982.56,29629.451756876653,1170999.4076887316,27564.89600377086,31806.213662158985,0.0267828512265881,0.0013329687299269,0.0264304686936409,0.0268312394630782,2021-1-1,1572.0,0.030279478296905804
29393.75,29760.66400849764,1008329.251178554,27840.86688947393,31776.66640636872,0.0268473181284758,0.001137810760288,0.0264932520544141,0.0221573029000857,2021-1-2,1573.0,-0.022320035113414738
32195.46,30212.530465018743,1743027.333371954,27707.27404366928,32881.520223775195,0.0278555973640228,0.0019077245647252,0.0274746876759605,0.0262972816621706,2021-1-3,1574.0,-0.012482721956117881
33000.78,33157.180976324904,2123923.0621459247,30392.24064635976,36103.91334050315,0.0298713227369604,0.0019300315691654,0.0294338650556275,0.034427629455704,2021-1-4,1575.0,0.061590346433355925
32035.03,34006.57274501832,2147113.41189463,31224.76181654605,36967.57920125667,0.0304778476453684,0.001854925196706,0.0300226244121939,0.0326832910374161,2021-1-5,1576.0,-0.004739311504907029
34046.67,32932.90099278616,1907502.5126405484,30308.62071718052,35721.57982142523,0.0280277868566429,0.0017572093789633,0.0276421966838587,0.0218575216999544,2021-1-6,1577.0,-0.061543340056754214
36860.41,35088.36647614788,2936405.1524120034,31849.31720925156,38564.84694557652,0.0305961339581193,0.0023821674880373,0.0301374056514279,0.0294659437291417,2021-1-7,1578.0,0.032713008561889745
39486.04,38115.01238030789,4026314.031957029,34333.15250973247,42196.50328971007,0.0340365823469648,0.002767670493262,0.0334701549062069,0.0351197015584843,2021-1-8,1579.0,0.048074438777325645
40670.25,41033.068079484976,4787527.91876015,36911.3087360892,45485.754366732246,0.039179114428415,0.0028394003022305,0.0384310884321201,0.0413971676368559,2021-1-9,1580.0,0.03472183130271134
40240.72,42376.89923236776,4627240.462004757,38316.81162114693,46746.74547981725,0.0419630868354081,0.0025733851718692,0.0411065174017728,0.0388252156943868,2021-1-10,1581.0,-0.00892096998383285
38240.09,41960.06851905375,4992402.100674886,37750.80374886983,46506.79958701562,0.0427265843914757,0.0028315365660044,0.0418389982124582,0.037228772120761,2021-1-11,1582.0,-0.05308501518779374
35544.94,39640.43013154089,5266361.23791297,35332.514346347496,44325.03488041224,0.0366196871278516,0.003345855517462,0.0359651186130454,0.030368345601581,2021-1-12,1583.0,-0.09727954403490546
34011.82,36396.13185516396,3596548.24503619,32820.33478593742,40252.22815990164,0.0239469205789615,0.0027113559405232,0.0236646899017087,0.0123347772668509,2021-1-13,1584.0,-0.11522006033885224
37393.13,34451.769151963104,4219428.50177202,30600.86340519568,38649.88710154752,0.0129351840613969,0.0035486222701278,0.0128522390747519,0.0048197683278072,2021-1-14,1585.0,-0.0701024483595396
39158.47,37704.496656346026,5231532.348227356,33419.954243297325,42382.36553740334,0.0083268412231345,0.0036732014780492,0.0082923643375727,0.0189589127813523,2021-1-15,1586.0,0.07866046110707747
36828.52,39261.44839081393,5680868.7229432585,34796.84913377431,44136.218035013895,0.0026297858627757,0.0036786043124272,0.0026263340263364,0.0172565431989587,2021-1-16,1587.0,0.03713049421118786
36065.2,36653.78949742419,4160452.457578606,32818.244852887365,40811.22199176953,-0.0047444345462648,0.0030919411650713,-0.0047557251015354,0.0015972006122729,2021-1-17,1588.0,-0.06606098726785481
35793.01,35744.23984969225,3357228.050839199,32287.236697272176,39467.67773453328,-0.0088994418527486,0.0026242109727019,-0.008939278410263,-0.0086647367480226,2021-1-18,1589.0,-0.01632015065559589
36632.35,35482.52062318993,3265842.720931256,32072.03772943672,39154.10324890706,-0.008674581344516,0.0025906197415908,-0.0087124245334191,-0.0128851521353371,2021-1-19,1590.0,0.0013625607432220521
36020.13,36479.68044626154,3474838.936410919,32962.21399279556,40267.35875592,-0.004167615611296,0.0026077517132122,-0.0041763243260437,-0.009060144172749,2021-1-20,1591.0,0.03138835965506093
35538.98,36014.89313554144,3072230.4719948224,32701.35490935126,39570.45695301319,-0.0001453871615277,0.0023657873539913,-0.0001453977312656,-0.0053629655747187,2021-1-21,1592.0,-0.012758156238235285
30797.88,35575.56713464652,4922429.180767005,31424.95245528416,40118.362005110255,0.0010294930987471,0.0038817951980277,0.0010289635341512,0.0009989353687433,2021-1-22,1593.0,-0.01339129979367537
33002.38,30522.021266620108,3888510.392742442,26839.32696300728,34565.74885131433,-0.0089570689079863,0.0041653535894251,-0.0089974246096343,-0.0090414020311287,2021-1-23,1594.0,-0.1551303899699108
32099.74,32462.48046719765,3529800.341225253,28935.586309268896,36297.67893057368,-0.0163594120424753,0.0033439548517293,-0.0164947047928824,-0.0121598707909512,2021-1-24,1595.0,0.0751569654485491
32276.84,31503.386660282817,3115445.137688806,28185.27552636762,35101.93377762141,-0.0185781361380866,0.0031341866967594,-0.0187528773373664,-0.0205897739326058,2021-1-25,1596.0,-0.011300417610785818
32243.26,31767.176962801936,2787070.8192418385,28620.471026292627,35162.7384660659,-0.015790363529951,0.0027579839428179,-0.0159163594276488,-0.013233343001058,2021-1-26,1597.0,0.0239631060449903
32541.8,31764.86931971968,2750877.89834585,28637.85554219924,35137.53056355084,-0.014836920344913,0.0027226124499851,-0.0149480884124947,-0.011016213454889,2021-1-27,1598.0,0.014765350563127444
30419.17,32108.26593676248,3275187.0641149967,28707.025330103155,35798.76056639066,-0.0133223750142132,0.0031718560219479,-0.0134119139893027,-0.0091274033590561,2021-1-28,1599.0,0.023874852659666046
33403.17,29970.69516457137,3594582.9301230297,26426.25035987726,33855.06081958614,-0.0147431647684216,0.0039938094604225,-0.0148529253704915,-0.0191319072105049,2021-1-29,1600.0,-0.055527351231558164
34314.26,33150.00137270455,4446222.520902041,29209.030039514902,37471.09314687318,-0.0075791796795169,0.0040378203834999,-0.0076080476178532,-0.0062129100572815,2021-1-30,1601.0,0.10275895477670616
34318.1,34344.70337744228,4751058.428506434,30270.42620183949,38811.037660842296,0.0008871931798115,0.0040197372316769,0.0008867998565611,-0.0016709728591298,2021-1-31,1602.0,0.03392929433114544
33136.46,34622.838521578604,2510793.5055527263,31620.731112534257,37830.73191627517,0.0088798191502037,0.002092335059192,0.0088406254074805,0.0130471274424045,2021-2-1,1603.0,-0.0007751996014431217
33522.9,33343.69817750419,1811298.8079262413,30783.41233192134,36058.18105751481,0.00625408319127,0.0016278299785475,0.0062346075722367,0.001347280654772,2021-2-2,1604.0,-0.04485628584280299
35529.66,33792.80042378162,2159119.889093833,31004.05209933847,36762.88220451669,0.0080512253946292,0.0018889399355917,0.0080189872018214,0.0056701035513856,2021-2-3,1605.0,0.005345653940912243
37676.25,35921.037390429134,2880673.83757751,32709.00777049781,39360.61525470908,0.0110155118407868,0.0022300367036836,0.01095528298768,0.0116594742360098,2021-2-4,1606.0,0.04888477897673049
37002.09,38291.88093309598,3321229.313814536,34843.86832371398,41985.99329933581,0.0163400267568023,0.0022625285511056,0.0162079651708334,0.0183914853997228,2021-2-5,1607.0,0.04658671204195919
38278.61,37689.429412364494,3369236.525078454,34219.507526241665,41412.981303908826,0.0185756915991637,0.0023690696898655,0.0184052706628547,0.0154225037411859,2021-2-6,1608.0,-0.03485724544467583
39323.26,39102.51071161366,3040515.8068070034,35795.924581999374,42629.7652652633,0.0215237886541244,0.0019865821365491,0.0212954229673008,0.0262727156654678,2021-2-7,1609.0,0.015391901316048506
38928.1,40086.24924894161,1802517.75427566,37518.95966587439,42781.22034999729,0.0194030008941681,0.0011211022884041,0.0192171627042153,0.0185823167848163,2021-2-8,1610.0,0.005613707723783445
46364.3,39710.08218172623,6485900.816447068,34952.159677468575,44930.88004873503,0.0200878589431856,0.0041046592617223,0.019888759805478,0.0145016221529585,2021-2-9,1611.0,-0.029750983195727887
46589.58,47815.68455113647,9409323.083064564,42085.0163644254,54104.028645416816,0.0313039245957875,0.004107007490466,0.0308239478167795,0.0351501713549581,2021-2-10,1612.0,0.14352029078997797
44878.17,48400.573574835566,9681606.306712631,42588.18540517026,54779.8348653763,0.0388712148689807,0.0041243025163036,0.0381347533940832,0.0393570660249529,2021-2-11,1613.0,-0.02631714111044725
48013.38,46578.75114568265,9930839.069953594,40707.28183951533,53054.25395726043,0.0378932818714008,0.0045668653202354,0.0371929681590245,0.0341721218398006,2021-2-12,1614.0,-0.07848812852296705
47471.4,49818.65698970404,10549922.312618071,43755.46755513765,56481.931408016135,0.037599456437019,0.0042417378353892,0.0369098301543267,0.0352465557671129,2021-2-13,1615.0,0.02987977214512605
47185.19,49180.42542663495,9454489.765709411,43428.8144803081,55476.913125098574,0.036001159153405,0.003901270897601,0.0353682627106084,0.0275131742390168,2021-2-14,1616.0,-0.04944570814646365
48720.37,48805.065577287794,9477898.218129553,43048.81078415383,55111.72198204044,0.0343301696419531,0.0039711804609352,0.0337540381166458,0.0287961860328331,2021-2-15,1617.0,-0.0422852048838831
47951.85,50191.92825766265,9797203.808732886,44336.28321279252,56600.82961359021,0.030204168352224,0.0038814256184685,0.0297570042994071,0.028583827683029,2021-2-16,1618.0,-0.001738401766813169
49160.1,49098.130223690845,9349271.641805228,43377.53846384829,55358.44874086711,0.0239048175136276,0.003870856348732,0.023623570650196,0.0239154931993562,2021-2-17,1619.0,-0.046715158177685456
52118.23,50038.84707216791,10543695.117911229,43976.01913605686,56698.78226332221,0.0178752092076279,0.004202091045755,0.0177173263388501,0.0277381894316327,2021-2-18,1620.0,0.001260570590970178
51608.15,52720.02908868403,3214265.0316018253,49293.07298049271,56320.10234079044,0.0115468059579926,0.0011557912441724,0.0114806503642503,0.0135505900541607,2021-2-19,1621.0,0.039897420304413456
55916.5,52314.365887595966,4920583.278672674,48100.9566068566,56794.73587803984,0.0136841930508255,0.0017963234125084,0.0135914099639587,0.0119431631065651,2021-2-20,1622.0,-0.021544641470078396
56001.2,57000.81402364357,5386537.722790529,52586.813567522215,61683.05240266887,0.0193916647795118,0.0016564862636974,0.0192060422958218,0.025055851820114,2021-2-21,1623.0,0.0644198780754166
57487.86,57140.16582527627,4146330.085953007,53252.67805679164,61233.68060213602,0.0203382396319413,0.0012691275256408,0.0201341798088659,0.0176200072042322,2021-2-22,1624.0,-0.017849867925036955
54123.4,58906.6245282665,5625716.2110954495,54394.15366007462,63690.18671883595,0.0246793762764261,0.0016199355395798,0.0243797600243556,0.021743484963027,2021-2-23,1625.0,0.0060481321573585545
48880.43,55350.698196213205,8143166.62472316,49967.893330896106,61150.83120910158,0.0226759256848831,0.0026544257746183,0.0224226485946922,0.0160247090088709,2021-2-24,1626.0,-0.08837627584864416
50624.84,49525.0443728887,6569524.228304374,44690.96992672812,54735.39842795676,0.013187575741226,0.0026748732103854,0.0131013766750415,0.0017820973894119,2021-2-25,1627.0,-0.13236929781945883
46800.42,50996.07060171705,8509023.075936213,45517.32352189053,56947.94296876284,0.0073329733331908,0.0032666059325181,0.0073062178030138,0.0074810525474779,2021-2-26,1628.0,0.021724426726312585
46340.31,46600.37048492507,6991694.326615399,41632.32989088738,51993.8537907257,-0.0042745239268136,0.0032144413043179,-0.0042836858220289,-0.0037001297898315,2021-2-27,1629.0,-0.0896498493329132
46155.87,45667.123658552606,6003555.801346174,41052.651730516176,50654.45891567916,-0.0145270142009709,0.0028745963812746,-0.0146335644352575,-0.0115449556604677,2021-2-28,1630.0,-0.005611971195813581
45113.92,45211.61864831402,5971438.280394097,40610.893854858434,50186.938102426175,-0.0204578822083948,0.0029170592542044,-0.0206700432452049,-0.0108914944838234,2021-3-1,1631.0,0.010589039735301231
49618.43,43899.32884295103,6137976.635799621,39243.38153131974,48951.75972749272,-0.02692275814314,0.0031799388740796,-0.027291814688126,-0.0228731020563488,2021-3-2,1632.0,-0.0021655987401232313
48356.04,48564.84645029038,7668570.077483304,43362.99028717645,54214.44826275149,-0.0212337139588983,0.0032461252506425,-0.0214623921822519,-0.0117695296414339,2021-3-3,1633.0,0.11526163074988405
50477.7,47604.49974138649,7631443.649332882,42419.256000942114,53244.27577762081,-0.015541807364985,0.0033618665174658,-0.0156638473861434,-0.0176397398772691,2021-3-4,1634.0,-0.0043181048384106635
48448.91,50270.1210082812,8014570.576665861,44949.33977788455,56042.99964491066,-0.0041122910061037,0.0031664499592189,-0.0041207697273926,-0.0061126977425194,2021-3-5,1635.0,0.056920189680066735
48861.38,48580.08931292058,5045193.65722072,44326.01539008119,53128.85955869482,0.0027075802720963,0.0021354894248376,0.0027039213796402,0.0001966526579172,2021-3-6,1636.0,-0.03759034018063967
48881.59,49091.4214970742,4855062.693440178,44914.00205769331,53549.500221510105,0.00470804338875,0.0020125493286994,0.0046969952157559,-0.00282913679072,2021-3-7,1637.0,0.0057569124547733885
51169.7,49321.862620696695,3907074.759098386,45560.77839967632,53307.81009497272,0.0090069210248009,0.0016048123419087,0.0089666006391273,0.0055979088328651,2021-3-8,1638.0,-0.004292648767648677
52299.33,51738.79473173843,4401048.050894953,47748.44394487626,55970.599987196896,0.0111217132744267,0.0016427320548777,0.0110603217876373,0.01184051291783,2021-3-9,1639.0,0.03611194475057122
54881.52,52958.42152549577,5259049.728254213,48605.47372506187,57593.2089388828,0.012602293862957,0.0018733992682818,0.0125235458710318,0.014699736610917,2021-3-10,1640.0,0.010717828856728562
55997.23,55702.45875774814,5782004.3639391,51137.74813348844,60561.77237099264,0.0149583823069796,0.0018617670650695,0.0148476089998968,0.0225509151453824,2021-3-11,1641.0,0.03504091130318965
57764.0,56818.70026425926,3399642.6509174565,53290.19888764349,60517.10634651469,0.0146698374948057,0.0010525000174451,0.0145632763213276,0.0138785928882169,2021-3-12,1642.0,0.005264032564679666
57253.28,58925.83967017488,3453037.638247673,55367.30077520551,62650.7871098138,0.0201135598326791,0.0009939714188097,0.0199139542683955,0.0201054736814854,2021-3-13,1643.0,0.01636485935428189
61258.73,58478.847854031024,4335082.937022167,54503.764470386704,62664.4064864469,0.0214060723513311,0.0012668484772793,0.0211801803393767,0.0143466495331223,2021-3-14,1644.0,-0.029213342365273842
59133.47,62940.04792442145,4848784.7643153,58734.08454096445,67364.7475142916,0.0274461766416223,0.001223244063311,0.0270762831856864,0.0263368719405782,2021-3-15,1645.0,0.045379363006203044
55754.72,60689.80255114436,5758522.305736133,56121.887361033485,65527.06570166808,0.0263189789326476,0.0015622132962829,0.0259785940763963,0.0216519313496688,2021-3-16,1646.0,-0.06437264588770875
56872.38,56872.16441976417,5184400.529557907,52539.55384574771,61463.54023819198,0.0200421492523712,0.0016015894729656,0.0198439492388589,0.0153789592299019,2021-3-17,1647.0,-0.08851416617542607
58913.0,57624.37545856344,5039739.894828222,53349.170726280645,62147.85533403562,0.0132225072796925,0.0015165833937623,0.013135852952832,0.0124448406637584,2021-3-18,1648.0,3.7905963461426495e-06
57665.9,59479.60473396549,5362731.387218656,55069.449497403606,64145.70686352112,0.0096176520286777,0.0015146801935735,0.0095716968325096,0.0139594415352988,2021-3-19,1649.0,0.021873347842353286
58075.1,57927.408922767965,4322836.994810792,53958.80224452815,62107.89138832109,0.0045348971015446,0.0012874224058432,0.0045246454374937,0.0061961530412388,2021-3-20,1650.0,-0.03145194532584239
58085.8,58184.33229345627,4223983.42756525,54259.688024021176,62315.09851672092,0.0018808799891221,0.0012469220420496,0.0018791133492336,0.0047328465530759,2021-3-21,1651.0,0.002543105000801238
57411.17,58076.22998988805,3928536.529692162,54287.93765455103,62056.59432485067,-0.0001647564484255,0.001164075536896,-0.00016477002226,0.0012562119994246,2021-3-22,1652.0,-0.0016963232572551057
54204.96,57338.96223925498,4890647.79235852,53126.23479560265,61793.82408162608,-0.0012577301724563,0.001486428134145,-0.0012585217788708,0.0009482746959625,2021-3-23,1653.0,-0.011584156704837367
54477.46,53881.64943832635,2996743.1359780347,50568.02499568346,57353.20873976637,-0.005964593676919,0.0010316769089088,-0.0059824529166007,-0.0131132848192463,2021-3-24,1654.0,-0.05781762848372152
52508.23,54194.9904938874,3063674.339141053,50844.98956558682,57705.51902435532,-0.0051850711489229,0.0010425524256354,-0.0051985602786008,-0.0086498543762694,2021-3-25,1655.0,0.010936827114804037
51415.92,52124.29455160783,2012883.16452589,49398.58925200704,54959.68064301666,-0.0073119099309226,0.0007405891755086,-0.0073387729711975,-0.0063011240744477,2021-3-26,1656.0,-0.03212373553417036
55074.47,50749.63652025103,3024650.7736075628,47425.951269713645,54242.54938952455,-0.0129586999464168,0.0011736928986908,-0.0130433963981721,-0.0108801280888294,2021-3-27,1657.0,-0.013777338839951359
55863.93,54385.08267311301,3165523.848023869,50980.91701388608,57954.52986838969,-0.0125173665200408,0.0010696795790986,-0.0125963687109102,-0.0069311764812259,2021-3-28,1658.0,0.07852701042332266
55783.71,55382.36490425111,3142760.1285068137,51988.67220711927,58937.2005295881,-0.0086203225542651,0.0010241081914111,-0.0086576924500941,-0.0029648425820375,2021-3-29,1659.0,0.02647231096858016
